release_date,movie_title,production_budget,domestic_gross,worldwide_gross,genres,start_year,runtime_minutes,averagerating,numvotes,Revenue
17-07-2013,Turbo,135000000.0,83028130.0,286896578.0,"Adventure,Animation,Comedy",2013,96.0,6.4,74639,151896578.0
03-06-2016,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601.0,245328374.0,"Action,Adventure,Comedy",2016,112.0,6.0,77234,110328374.0
18-11-2011,Happy Feet Two,135000000.0,64006466.0,157956466.0,"Adventure,Animation,Comedy",2011,100.0,5.9,38396,22956466.0
02-11-2018,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,"Adventure,Family,Fantasy",2018,99.0,5.5,18734,37393899.0
29-06-2005,War of the Worlds,132000000.0,234280354.0,606836535.0,Sci-Fi,2013,50.0,5.8,11,474836535.0
26-11-2014,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,"Adventure,Animation,Comedy",2014,92.0,6.7,72551,234942531.0
22-11-2013,The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,"Action,Adventure,Sci-Fi",2013,146.0,7.5,575455,734868047.0
06-07-2018,Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0,"Action,Adventure,Comedy",2018,118.0,7.1,244024,493144660.0
17-07-2015,Ant-Man,130000000.0,180202163.0,518858449.0,"Action,Adventure,Comedy",2015,117.0,7.3,501213,388858449.0
27-03-2015,Home,130000000.0,177397510.0,385997896.0,Drama,2011,76.0,6.0,96,255997896.0
27-03-2015,Home,130000000.0,177397510.0,385997896.0,Drama,2011,127.0,7.5,1049,255997896.0
27-03-2015,Home,130000000.0,177397510.0,385997896.0,"Adventure,Animation,Comedy",2015,94.0,6.6,85831,255997896.0
27-03-2015,Home,130000000.0,177397510.0,385997896.0,"Drama,Romance",2013,90.0,6.8,306,255997896.0
27-03-2015,Home,130000000.0,177397510.0,385997896.0,Drama,2013,112.0,7.0,140,255997896.0
27-03-2015,Home,130000000.0,177397510.0,385997896.0,"Drama,Horror,Thriller",2016,87.0,3.9,303,255997896.0
27-03-2015,Home,130000000.0,177397510.0,385997896.0,Drama,2016,103.0,7.2,811,255997896.0
27-03-2015,Home,130000000.0,177397510.0,385997896.0,"Drama,Romance,Thriller",2018,71.0,8.4,32,255997896.0
05-06-2009,Home,12000000.0,0.0,0.0,Drama,2011,76.0,6.0,96,-12000000.0
05-06-2009,Home,12000000.0,0.0,0.0,Drama,2011,127.0,7.5,1049,-12000000.0
05-06-2009,Home,12000000.0,0.0,0.0,"Adventure,Animation,Comedy",2015,94.0,6.6,85831,-12000000.0
05-06-2009,Home,12000000.0,0.0,0.0,"Drama,Romance",2013,90.0,6.8,306,-12000000.0
05-06-2009,Home,12000000.0,0.0,0.0,Drama,2013,112.0,7.0,140,-12000000.0
05-06-2009,Home,12000000.0,0.0,0.0,"Drama,Horror,Thriller",2016,87.0,3.9,303,-12000000.0
05-06-2009,Home,12000000.0,0.0,0.0,Drama,2016,103.0,7.2,811,-12000000.0
05-06-2009,Home,12000000.0,0.0,0.0,"Drama,Romance,Thriller",2018,71.0,8.4,32,-12000000.0
23-04-2009,Home,500000.0,15433.0,44793168.0,Drama,2011,76.0,6.0,96,44293168.0
23-04-2009,Home,500000.0,15433.0,44793168.0,Drama,2011,127.0,7.5,1049,44293168.0
